,aspirate,ejective,plain
aspirate,44.0/20.81 = 2.1143,35.0/28.01 = 1.2494,2.0/32.18 = 0.0622
ejective,15.0/11.30 = 1.3269,27.0/15.22 = 1.7743,2.0/17.48 = 0.1144
plain,71.0/98.40 = 0.7216,113.0/132.46 = 0.8531,199.0/152.14 = 1.3080
