,aspirate,ejective,plain
"('aspirate',)",1820.0/777.10 = 2.3420,60.0/29.99 = 2.0007,1015.0/2087.91 = 0.4861
"('ejective',)",573.0/438.88 = 1.3056,22.0/16.94 = 1.2989,1040.0/1179.18 = 0.8820
"('plain',)",276.0/1453.01 = 0.1900,21.0/56.07 = 0.3745,5116.0/3903.91 = 1.3105
