,aspirate,ejective,plain
aspirate,47.0/20.71 = 2.2692,35.0/27.62 = 1.2674,4.0/37.67 = 0.1062
ejective,15.0/11.80 = 1.2711,28.0/15.73 = 1.7795,6.0/21.46 = 0.2795
plain,76.0/105.49 = 0.7205,121.0/140.65 = 0.8603,241.0/191.86 = 1.2561
