,aspirate,ejective,plain
"('aspirate',)",25.0/12.68 = 1.9717,12.0/5.51 = 2.1767,49.0/68.08 = 0.7197
"('ejective',)",20.0/14.60 = 1.3702,7.0/6.35 = 1.1030,72.0/78.38 = 0.9187
"('plain',)",1.0/18.72 = 0.0534,1.0/8.14 = 0.1228,126.0/100.54 = 1.2532
