,aspirate,ejective,plain
"('aspirate',)",24.0/13.53 = 1.7733,12.0/6.02 = 1.9950,44.0/60.75 = 0.7243
"('ejective',)",20.0/15.39 = 1.2991,7.0/6.84 = 1.0231,64.0/69.11 = 0.9261
"('plain',)",1.0/16.07 = 0.0622,1.0/7.14 = 0.1400,94.0/72.14 = 1.3030
