,aspirate,ejective,plain
aspirate,2064.0/741.36 = 2.7841,709.0/570.97 = 1.2418,573.0/2033.67 = 0.2818
ejective,250.0/189.44 = 1.3197,187.0/145.90 = 1.2817,418.0/519.66 = 0.8044
plain,2833.0/4216.20 = 0.6719,3068.0/3247.14 = 0.9448,13128.0/11565.67 = 1.1351
