,"('P', 'T', 'K', 'Q', 'C')","('b', 'd', 'g', 'G', 'z')","('p', 't', 'k', 'q', 'c')"
"('P', 'T', 'K', 'Q', 'C')",1881.0/183.49 = 10.2515,640.0/190.28 = 3.3635,962.0/1737.20 = 0.5538
"('b', 'd', 'g', 'G', 'z')",63.0/230.38 = 0.2735,32.0/238.91 = 0.1339,71.0/2181.20 = 0.0326
"('p', 't', 'k', 'q', 'c')",3475.0/3068.74 = 1.1324,3909.0/3182.36 = 1.2283,37805.0/29054.07 = 1.3012
