a	223685
A	10906
e	16323
E	632
i	68268
I	4164
o	8289
O	69
u	37446
U	432
p	36396
t	53505
c	11527
k	49088
q	12032
P	2345
T	4965
C	1473
K	3093
Q	3566
b	901
d	8302
z	2414
g	1796
G	1846
s	40783
S	781
h	15031
x	29404
m	25715
n	48241
N	14295
r	33928
l	7823
Y	4585
j	23369
w	27149
stops	193249
plain_stops	162548
aspirates	15442
ejectives	15259
consonants	464353
vowels	370214
total	2055632
