,"('s', 'z')","('T', 'D', 'S', 'Z')"
"('s', 'z')",115.0/52.79 = 2.1784,183.0/137.10 = 1.3348
"('T', 'D', 'S', 'Z')",48.0/64.11 = 0.7487,367.0/166.50 = 2.2043
