,"('s', 'z')","('T', 'D', 'S', 'Z')"
"('s', 'z')",73.0/45.51 = 1.6041,83.0/91.99 = 0.9023
"('T', 'D', 'S', 'Z')",32.0/34.09 = 0.9387,147.0/68.91 = 2.1334
