,"('s', 'z')","('T', 'D', 'S', 'Z')"
"('s', 'z')",260.0/196.46 = 1.3234,646.0/709.54 = 0.9105
"('T', 'D', 'S', 'Z')",121.0/184.54 = 0.6557,730.0/666.46 = 1.0953
