,"('s', 'z')","('T', 'D', 'S', 'Z')"
"('s', 'z')",176.0/145.67 = 1.2082,349.0/379.33 = 0.9201
"('T', 'D', 'S', 'Z')",79.0/109.33 = 0.7226,315.0/284.67 = 1.1065
