,"('s', 'z')","('T', 'D', 'S', 'Z')"
"('s', 'z')",118.0/60.43 = 1.9528,146.0/157.06 = 0.9296
"('T', 'D', 'S', 'Z')",53.0/73.21 = 0.7239,245.0/190.29 = 1.2875
