,aspirate,ejective,plain
aspirate,44.0/20.73 = 2.1227,35.0/27.90 = 1.2543,2.0/32.37 = 0.0618
ejective,15.0/11.26 = 1.3322,27.0/15.16 = 1.7813,2.0/17.58 = 0.1137
plain,71.0/98.01 = 0.7244,113.0/131.94 = 0.8565,199.0/153.05 = 1.3002
